ts,step,endpoint,latency_ms,status,ok
1789194516.151,10,health,6.0,200,1
1789194516.152,10,health,6.0,200,1
1789194516.155,10,health,4.9,200,1
1789194516.159,10,login,59.9,200,1
1789194516.162,10,health,2.7,200,1
1789194516.171,10,login,61.0,200,1
1789194516.174,10,health,2.8,200,1
1789194516.223,10,orders,221.9,200,1
1789194516.286,10,search,143.4,200,1
1789194516.327,10,login,41.4,200,1
1789194516.329,10,health,2.3,200,1
1789194516.354,10,orders,207.1,200,1
1789194516.36,10,search,136.6,200,1
1789194516.366,10,orders,204.4,200,1
1789194516.373,10,orders,221.4,200,1
1789194516.377,10,orders,227.3,200,1
1789194516.387,10,orders,259.3,200,1
1789194516.399,10,orders,244.9,200,1
1789194516.431,10,orders,256.8,200,1
1789194516.453,10,orders,320.8,200,1
1789194516.457,10,login,97.0,200,1
1789194516.46,10,health,3.2,200,1
1789194516.535,10,search,181.2,200,1
1789194516.547,10,search,180.4,200,1
1789194516.554,10,search,175.5,200,1
1789194516.564,10,search,164.9,200,1
1789194516.573,10,search,142.1,200,1
1789194516.577,10,search,190.3,200,1
1789194516.592,10,search,139.0,200,1
1789194516.594,10,login,58.3,200,1
1789194516.603,10,orders,273.8,200,1
1789194516.607,10,search,233.3,200,1
1789194516.609,10,health,15.5,200,1
1789194516.618,10,login,64.3,200,1
1789194516.624,10,login,76.5,200,1
1789194516.626,10,health,2.4,200,1
1789194516.63,10,login,66.0,200,1
1789194516.632,10,health,2.3,200,1
1789194516.638,10,login,65.5,200,1
1789194516.642,10,health,24.1,200,1
1789194516.643,10,health,4.3,200,1
1789194516.647,10,login,70.3,200,1
1789194516.662,10,login,70.6,200,1
1789194516.666,10,health,3.6,200,1
1789194516.672,10,health,24.6,200,1
1789194516.679,10,login,72.5,200,1
1789194516.682,10,health,2.6,200,1
1789194516.707,10,orders,247.0,200,1
1789194516.771,10,search,168.2,200,1
1789194516.813,10,login,41.9,200,1
1789194516.816,10,health,2.8,200,1
1789194516.843,10,search,135.5,200,1
1789194516.857,10,orders,247.0,200,1
1789194516.872,10,orders,246.3,200,1
1789194516.879,10,orders,236.1,200,1
1789194516.9,10,orders,257.6,200,1
1789194516.901,10,orders,268.4,200,1
1789194516.915,10,orders,248.5,200,1
1789194516.923,10,orders,251.0,200,1
1789194516.939,10,login,96.3,200,1
1789194516.945,10,orders,263.2,200,1
1789194516.952,10,health,12.8,200,1
1789194517.035,10,search,179.3,200,1
1789194517.041,10,search,169.4,200,1
1789194517.049,10,search,148.1,200,1
1789194517.059,10,search,158.8,200,1
1789194517.063,10,search,148.5,200,1
1789194517.065,10,search,187.2,200,1
1789194517.07,10,search,147.5,200,1
1789194517.081,10,search,136.0,200,1
1789194517.088,10,login,47.2,200,1
1789194517.091,10,login,55.4,200,1
1789194517.091,10,health,2.8,200,1
1789194517.094,10,health,3.2,200,1
1789194517.102,10,orders,286.5,200,1
1789194517.117,10,login,57.5,200,1
1789194517.12,10,health,2.7,200,1
1789194517.122,10,login,55.6,200,1
1789194517.124,10,health,2.7,200,1
1789194517.131,10,login,81.7,200,1
1789194517.133,10,login,69.2,200,1
1789194517.134,10,health,3.1,200,1
1789194517.135,10,health,3.2,200,1
1789194517.139,10,login,69.1,200,1
1789194517.142,10,health,2.1,200,1
1789194517.146,10,login,65.7,200,1
1789194517.15,10,health,3.1,200,1
1789194517.186,10,orders,234.2,200,1
1789194517.269,10,search,165.9,200,1
1789194517.313,10,orders,218.8,200,1
1789194517.317,10,login,47.9,200,1
